model,defense,scenario,mAP50_C,mAP50_P,Δ_mAP50,mAP5095_C,mAP5095_P,Precision_C,Precision_P,Recall_C,Recall_P,Det_img_C,Det_img_P,Δ_Det_img,FP_img_C,FP_img_P,Δ_FP_img,FP@0.3_P,FP@0.5_P,FP@0.7_P
yolov8s,gauss_sigma4.0,billboard08,0.760461849694594,0.6720441930064004,-0.088418,0.59236215462747,0.47594805896493114,0.9688838870790305,0.7590170382912486,0.7173589261670066,0.5962637708336551,7.84,32.7,24.86,6.92,31.84,24.92,0.32,0.14,0.08
yolov8s,gauss_sigma4.0,billboard09,0.8041616109781646,0.3466878872518291,-0.457474,0.4928164986228266,0.16755844384147778,0.851461673169501,0.4811582987721397,0.7716584817001673,0.32308494007295463,20.28,61.64,41.36,14.06,57.16,43.1,3.26,1.7,0.84
yolov8s,median_ksize13,billboard04,0.8666820251015005,0.5825200833329705,-0.284162,0.5564058722758554,0.2945702042617833,0.8407245331479559,0.8238250461003203,0.7875633024544803,0.5001940458987397,7.32,19.04,11.72,5.62,17.56,11.94,0.72,0.28,0.14
yolov8s,median_ksize13,billboard05,0.853727429196797,0.6187053384201437,-0.235022,0.4985458741118532,0.29093819969703605,0.8840272511681446,0.7555684586224878,0.8398578737101094,0.4834502131428699,9.0,14.12,5.12,5.62,11.58,5.96,0.22,0.1,0.08
yolov8s,median_ksize13,billboard06,0.7218506833146234,0.5577420382561673,-0.164109,0.482495469205276,0.2656366920743496,0.8230051587878919,0.5458543717928764,0.7136109854198286,0.49057311318509117,10.6,21.66,11.06,6.44,18.2,11.76,0.74,0.54,0.2
yolov8s,median_ksize13,billboard07,0.6805260953161336,0.5255920598350827,-0.154934,0.4563208587566467,0.18895612013869836,0.6533484321865348,0.6371454799614444,0.690152159305448,0.42160504641543983,17.4,16.56,-0.84,10.46,12.8,2.34,0.44,0.34,0.18
yolov8s,median_ksize13,billboard08,0.749104100578245,0.6771663978585111,-0.071938,0.607471021533411,0.47165311132400745,0.7998296727073679,0.8424261680101542,0.7380392156862744,0.6062493830680961,6.22,13.68,7.46,5.34,12.8,7.46,0.12,0.08,0.04
yolov8s,median_ksize13,billboard09,0.7663991927706638,0.3885426733027578,-0.377857,0.4646682295615577,0.19987205110455025,0.8468050084886192,0.598421316204106,0.6913890638378626,0.3132708007642869,14.46,22.76,8.3,8.72,18.86,10.14,0.36,0.14,0.06
yolov8s,jpeg_quality95,billboard04,0.9670681010874915,0.7462244222681222,-0.220844,0.6949860487065457,0.4283489684173947,0.9557806080111031,0.8664795196863577,0.9195590558937559,0.5741844655270962,4.64,18.9,14.26,2.82,17.28,14.46,3.3,2.12,0.62
yolov8s,jpeg_quality95,billboard05,0.8874148690600397,0.7918658713536866,-0.095549,0.621287898999567,0.446204770379237,0.9532333895062535,0.9561496747963627,0.8594801706467675,0.684340905903757,6.88,7.56,0.68,3.24,4.32,1.08,0.3,0.22,0.18
